transcript,name,gene,n_readlength,maxmean_readlength,sigma_readlength,prop_readlength,min_readlength,n_polyA,maxmean_polyA,sigma_polyA,prop_polyA,min_polyA,t5
ENSMUST00000000001,Gnai3,ENSMUSG00000000001,722.0,1733.73918464943,892.160097807786,0.554112011799005,166.0,460.0,149.138495403819,63.8904666974049,0.50532344431647,5.72,1.9597281751018201
ENSMUST00000000033,Igf2,ENSMUSG00000048583,24.0,1132.51743234521,158.903202700455,0.529669598878093,273.0,16.0,119.983218496851,48.8490482361901,0.49001624315048,2.78,--
ENSMUST00000000058,Cav2,ENSMUSG00000000058,371.0,1380.23633223539,746.934603404757,0.567716889202111,173.0,237.0,146.119222568764,62.8448687243241,0.521235390182764,9.42,1.8699291222147301
ENSMUST00000000080,Klf6,ENSMUSG00000000078,307.0,1423.84192573728,804.488556704332,0.56322046917965,200.0,185.0,158.748237302455,81.0926543320098,0.523189750464461,2.55,0.1
ENSMUST00000000087,Scmh1,ENSMUSG00000000085,256.0,1543.63338326792,693.049001358555,0.490144150269883,161.0,183.0,161.759525756817,66.8480566357785,0.528162417719121,8.52,0.48968783698861201
ENSMUST00000000090,Cox5a,ENSMUSG00000000088,1999.0,731.238161281622,43.3364936375071,0.419233665520647,131.0,1351.0,138.689182831908,59.7082904106691,0.502926083628135,4.93,20.606646431274498
ENSMUST00000000137,Actr2,ENSMUSG00000020152,1131.0,1502.52961966888,871.722017242026,0.563509791709254,137.0,710.0,147.667948656938,63.6699860723803,0.510435206917015,1.78,--
ENSMUST00000000175,Sdhd,ENSMUSG00000000171,524.0,1279.14488848118,175.403882624742,0.555389963417105,175.0,375.0,137.029731970962,58.0564709747078,0.509756727870341,5.78,8.2229971042532402
ENSMUST00000000188,Ccnd2,ENSMUSG00000000184,656.0,1452.39078989809,895.355988339617,0.572777824512261,164.0,438.0,132.136008366248,55.1941960087807,0.508912132907435,1.77,2.4956529476971498
ENSMUST00000000193,Ccl2,ENSMUSG00000035385,250.0,882.545682886455,31.4847957032451,0.512430230562207,198.0,165.0,176.368957327213,73.8168338586948,0.540786208215325,8.33,0.38489455267418099
ENSMUST00000000199,Ncs1,ENSMUSG00000062661,439.0,1620.06172689975,759.350937726248,0.532366787818819,138.0,313.0,140.62846010184,58.3748724108719,0.48988688770013,3.43,3.0420227127587598
ENSMUST00000000284,Trim25,ENSMUSG00000000275,83.0,1538.00818620848,754.380190007116,0.552053887159489,170.0,54.0,169.617658061256,77.829064493637,0.559233538481148,20.17,1.0505472448226001
ENSMUST00000000291,Mnt,ENSMUSG00000000282,135.0,1490.8022708406,866.542437087174,0.585974108064652,186.0,91.0,154.175428289742,67.3228081972203,0.50600126399287,8.06,0.239221775950367
ENSMUST00000000348,Rtca,ENSMUSG00000000339,365.0,1507.88117664316,123.052406478239,0.703139584102904,201.0,271.0,144.267590075063,72.9007937626767,0.529447783299345,3.0,7.9922055737177899
ENSMUST00000000356,Dazap2,ENSMUSG00000000346,1163.0,1342.86582136446,529.029456179392,0.536270457623935,101.0,761.0,147.355475851734,67.5418533836161,0.514624404066899,8.4,3.6024222320980699
ENSMUST00000000394,Tbrg4,ENSMUSG00000000384,160.0,1878.41294805381,747.329476540129,0.547187992975629,186.0,89.0,161.842866120046,65.0359297733739,0.518336586783452,23.27,2.2369363759583698
ENSMUST00000000449,Mkrn2,ENSMUSG00000000439,164.0,1258.80894278996,630.4421277298,0.546587003836128,196.0,106.0,157.737186963487,70.7229843581157,0.538545732562924,12.15,4.2961935514795098
ENSMUST00000000451,Raf1,ENSMUSG00000000441,119.0,2040.03716112858,906.955903756264,0.537152017620315,151.0,88.0,158.211954883504,72.1164920514964,0.515270824048311,6.68,4.9309885942941802
ENSMUST00000000476,Pdgfra,ENSMUSG00000029231,184.0,1756.34892447661,1190.26237485177,0.593914709152453,195.0,121.0,187.002888028459,71.3980934114378,0.512475430960628,7.86,0.61334479408686604
ENSMUST00000000505,Mcm7,ENSMUSG00000029730,909.0,1503.56313091416,651.829070020198,0.526666186339451,157.0,635.0,144.36519311741,68.1599427425039,0.507882646307527,3.62,6.9143816480320899
