RefSeq.mRNA.ID	length	RPKM	t5	Transcript.stable.ID	Gene.stable.ID	name
NM_000016	2192	22.63	11.1666666666667	ENST00000370841	ENSG00000117054	ACADM
NM_000017	1829	2.63	4	ENST00000242592	ENSG00000122971	ACADS
NM_000018	2320	65.18	3.57142857142857	ENST00000356839	ENSG00000072778	ACADVL
NM_000021	2763	23.33	6.76923076923077	ENST00000324501	ENSG00000080815	PSEN1
NM_000022	1566	6.9	4.57142857142857	ENST00000372874	ENSG00000196839	ADA
NM_000026	1692	36.56	21.6	ENST00000623063	ENSG00000239900	ADSL
NM_000027	2041	1.6	4	ENST00000264595	ENSG00000038002	AGA
NM_000028	7445	2.67	15.1111111111111	ENST00000294724	ENSG00000162688	AGL
NM_000031	3317	7.65	4.5	ENST00000409155	ENSG00000148218	ALAD
NM_000033	3616	23.03	8.64	ENST00000218104	ENSG00000101986	ABCD1
NM_000037	8300	1.02	8.94117647058824	ENST00000289734	ENSG00000029534	ANK1
NM_000038	10719	9.73	5.28571428571429	ENST00000257430	ENSG00000134982	APC
NM_000043	2755	2.72	2.53164556962025	ENST00000652046	ENSG00000026103	FAS
NM_000044	4314	10.44	3.50877192982456	ENST00000374690	ENSG00000169083	AR
NM_000046	6089	4.91	22	ENST00000264914	ENSG00000113273	ARSB
NM_000047	1858	2.28	10.4242424242424	ENST00000381134	ENSG00000157399	ARSL
NM_000048	2061	5.85	3.38983050847458	ENST00000304874	ENSG00000126522	ASL
NM_000051	13147	1.78	2.63157894736842	ENST00000675843	ENSG00000149311	ATM
NM_000052	8122	4.03	8.90909090909091	ENST00000341514	ENSG00000165240	ATP7A
NM_000053	6644	1.33	4.5	ENST00000242839	ENSG00000123191	ATP7B
NM_000056	3703	6.8	3.44827586206897	ENST00000356489	ENSG00000083123	BCKDHB
NM_000057	4528	11.93	3.17460317460317	ENST00000355112	ENSG00000197299	BLM
NM_000059	11386	1.15	2.63157894736842	ENST00000380152	ENSG00000139618	BRCA2
NM_000071	2544	26.21	3.50877192982456	ENST00000398165	ENSG00000160200	CBS
NM_000072	2338	13.33	13.6363636363636	ENST00000394788	ENSG00000135218	CD36
NM_000075	1474	164.62	9.92592592592593	ENST00000257904	ENSG00000135446	CDK4
NM_000076	1511	14.87	7.39393939393939	ENST00000616138	nan	nan
NM_000076	1511	14.87	7.39393939393939	ENST00000430149	ENSG00000129757	CDKN1C
NM_000080	2463	1.76	5.52941176470588	ENST00000649488	ENSG00000108556	CHRNE
NM_000081	13493	1.3	6.13333333333333	ENST00000389793	ENSG00000143669	LYST
NM_000082	2249	7.51	5.25	ENST00000676185	ENSG00000049167	ERCC8
NM_000084	3173	3.58	8.51282051282051	ENST00000376108	ENSG00000171365	CLCN5
NM_000086	1915	19.7	12.8372093023256	ENST00000359984	ENSG00000188603	CLN3
NM_000088	5927	19.05	7.14285714285714	ENST00000225964	ENSG00000108821	COL1A1
NM_000089	5411	17.28	3.50877192982456	ENST00000297268	ENSG00000164692	COL1A2
NM_000093	8439	33.6	6.8	ENST00000371817	ENSG00000130635	COL5A1
NM_000094	9272	60.62	3.44827586206897	ENST00000681320	ENSG00000114270	COL7A1
NM_000097	2714	4.37	8	ENST00000647941	ENSG00000080819	CPOX
NM_000098	3090	6.33	5.94594594594595	ENST00000371486	ENSG00000157184	CPT2
NM_000101	743	51.56	10.4	ENST00000261623	ENSG00000051523	CYBA
NM_000104	5128	24.11	2.8169014084507	ENST00000610745	ENSG00000138061	CYP1B1
NM_000107	1820	12.19	4.33333333333333	ENST00000256996	ENSG00000134574	DDB2
NM_000108	3579	18.2	12	ENST00000205402	ENSG00000091140	DLD
NM_000109	14082	2.94	8.71428571428572	ENST00000357033	ENSG00000198947	DMD
NM_000110	4407	8.91	3.38983050847458	ENST00000370192	ENSG00000188641	DPYD
NM_000112	8082	2.57	4.72727272727273	ENST00000286298	ENSG00000155850	SLC26A2
NM_000113	2117	31.72	5.2	ENST00000351698	ENSG00000136827	TOR1A
NM_000116	1934	5.63	9.05263157894737	ENST00000601016	ENSG00000102125	TAZ
NM_000117	1252	52.34	16.1379310344828	ENST00000369842	ENSG00000102119	EMD
NM_000118	3142	21.56	22.2857142857143	ENST00000344849	ENSG00000106991	ENG
NM_000121	1849	15.55	2.5	ENST00000222139	ENSG00000187266	EPOR
NM_000122	2751	20.34	4.71428571428571	ENST00000285398	ENSG00000163161	ERCC3
NM_000123	4100	11.98	3.38983050847458	ENST00000652225	ENSG00000134899	ERCC5
NM_000124	4714	7.55	2.7027027027027	ENST00000355832	ENSG00000225830	ERCC6
NM_000127	3376	26.15	3.50877192982456	ENST00000378204	ENSG00000182197	EXT1
NM_000135	5460	18.79	3.2258064516129	ENST00000389301	ENSG00000187741	FANCA
NM_000136	4612	15	3.77358490566038	ENST00000289081	ENSG00000158169	FANCC
